Origin,Designation
AMLGROUP,XX-CORR-CORRUPTION
AMLGROUP,XX-FIN-FRAUD
AMLGROUP,XX-FIN-MONLAUNDERING
AMLGROUP,XX-FIN-OTHERS
AMLGROUP,XX-FIN-TAXEVASION
AMLGROUP,XX-ORG-ORGDCRIME
AMLGROUP,XX-OTH-GAMBLING
AMLGROUP,XX-OTH-HTRAFFICKING
AMLGROUP,XX-OTH-OTHERS
AMLGROUP,XX-OTH-SMUGGLING
AMLGROUP,XX-SENSC-REPUTATION
AMLGROUP,XX-SENSC-RESTRICTED
AMLGROUP,XX-TERR-S311
AMLGROUP,XX-TERR-TERRORISM
AMLLOCAL,AE-FIN-FRAUD
AMLLOCAL,AE-FIN-OTHERS
AMLLOCAL,AE-OTH-OTHERS
AMLLOCAL,AE-SENSC-ASSOC
AMLLOCAL,AE-SENSC-RESTRICTED
AMLLOCAL,AE-TERR-TERRORISM
AMLLOCAL,BH-FIN-OTHERS
AMLLOCAL,BH-TERR-TERRORISM
AMLLOCAL,BN-FIN-FRAUD
AMLLOCAL,BN-FIN-MONLAUNDERING
AMLLOCAL,BN-FIN-OTHERS
AMLLOCAL,BN-FRAUD-WIREFRAUD
AMLLOCAL,BN-OTH-OTHERS
AMLLOCAL,CI-OTH-GAMBLING
AMLLOCAL,CN-FIN-MONLAUNDERING
AMLLOCAL,CN-FIN-OTHERS
AMLLOCAL,CN-OTH-OTHERS
AMLLOCAL,CN-SENSC-ASSOC
AMLLOCAL,CN-SENSC-RESTRICTEDC
AMLLOCAL,CN-TERR-TERRORISM
AMLLOCAL,DE-CORR-CORRUPTION
AMLLOCAL,DE-FIN-FRAUD
AMLLOCAL,DE-FIN-MONLAUNDERING
AMLLOCAL,DE-FIN-OTHERS
AMLLOCAL,DE-FRAUD-WIREFRAUD
AMLLOCAL,DE-OTH-OTHERS
AMLLOCAL,GH-FIN-OTHERS
AMLLOCAL,HK-FIN-MONLAUNDERING
AMLLOCAL,HK-SENSC-REPUTATION
AMLLOCAL,IN-FIN-MONLAUNDERING
